index,cluster,true_label,umap1,umap2
73,2,7,5.5341334,9.410364
74,7,3,2.6908462,8.555128
75,1,1,9.468022,8.838773
76,6,9,7.8177366,8.420064
77,0,0,2.6953475,10.995093
78,2,3,4.6457314,9.544222
79,3,1,5.9795775,6.632911
80,8,3,6.6328263,6.2395773
81,2,5,2.531638,8.422619
82,0,4,1.7732948,10.604114
83,3,5,6.095012,7.5365562
84,0,7,1.973035,10.042387
85,2,7,4.0480084,6.68218
86,7,4,2.2262456,9.102302
87,0,7,3.1532536,9.758091
88,1,9,8.8550415,10.153002
89,6,4,4.8853517,9.861267
90,7,2,1.1934007,7.518725
91,4,3,3.6876032,6.391435
92,1,8,8.747788,10.186335
93,6,0,7.900578,8.429284
94,1,1,8.846616,9.466271
95,0,6,1.8431287,9.628617
96,3,1,6.6268973,7.646471
97,2,1,5.728733,9.348702
98,7,4,0.8311474,8.485148
99,1,1,9.711385,9.953261
100,9,8,8.271155,6.731464
101,4,3,3.402394,6.975102
102,1,9,10.466599,9.819531
103,4,6,3.9324074,6.5005617
104,0,6,2.680144,10.850407
105,3,1,6.0277243,4.7966933
106,9,8,9.023555,6.8950024
107,4,5,3.5281627,7.011289
108,8,2,4.9983335,4.9338894
109,9,9,8.76414,7.669241
110,6,9,7.624081,8.246129
111,9,8,8.554336,7.8118105
112,3,1,6.484388,6.9488564
113,2,7,6.224984,8.547942
114,4,7,3.4692721,7.8826947
115,8,0,6.488684,5.368252
116,3,0,6.2314734,7.4937763
117,7,6,1.2946842,8.862587
118,6,9,6.204873,9.392898
119,3,1,6.1421704,4.168209
120,7,2,0.66216224,7.211857
121,8,2,4.82915,5.6318016
122,2,9,6.14329,8.163766
123,4,2,4.5493803,4.9563217
124,7,6,1.5191897,7.6325703
125,5,6,3.8200657,4.618455
126,3,1,6.4738736,5.6451864
127,6,9,7.1738687,8.624736
128,6,5,6.8109503,8.775448
129,9,0,8.872323,6.305864
130,0,4,1.5341023,10.556813
131,4,7,3.7531111,7.052615
132,7,6,1.7524357,8.778889
133,2,7,5.2955704,8.422721
134,1,1,9.300682,9.5189905
135,3,8,7.2727113,6.4233317
136,1,1,9.757311,9.878742
137,6,1,7.3141346,8.750348
138,7,2,0.89063644,7.605929
139,8,8,6.8711,5.667706
140,1,1,9.611496,9.8068695
141,7,3,1.2343805,7.2924457
142,4,3,3.6015425,7.053169
143,0,6,0.69306725,9.554953
144,4,2,2.848307,9.807479
145,2,4,4.4707,7.336872
146,2,9,6.9040246,8.241148
147,9,9,8.493757,9.098944
148,6,5,6.471391,10.072633
149,0,4,1.1909581,10.665567
150,6,3,6.7155046,8.537104
151,4,6,3.5075498,7.0799007
152,0,7,3.0061336,9.883804
153,7,4,1.790775,7.617528
154,7,6,2.0047438,7.688673
155,9,8,8.653138,7.553539
156,0,5,3.5651915,9.668235
157,7,5,1.0064986,7.747158
158,4,4,3.5466452,8.726083
159,2,3,6.556508,9.483659
160,8,1,5.8678455,4.492468
161,6,8,8.701389,7.7444186
162,2,4,4.7249174,6.7927904
163,6,7,5.0429626,9.297879
164,7,6,1.1083977,7.9772215
165,0,0,2.3225374,10.615743
166,1,9,8.822985,9.764903
167,5,5,2.1145477,4.816515
168,2,1,6.8933916,7.0908914
169,7,3,1.6341057,6.992431
170,3,8,6.043075,5.762659
171,5,2,2.5279162,5.107117
172,8,7,4.8312197,9.443
173,4,5,4.1480174,7.5623255
174,5,3,3.3133225,4.7597876
175,2,4,3.674783,8.413846
176,6,1,6.7673936,8.466981
177,3,5,3.3569763,9.1214905
178,0,7,4.1929684,10.1672735
179,2,0,5.0661607,6.687632
180,0,4,2.3938458,10.496671
181,4,7,3.7589543,5.761402
182,5,5,3.1938057,5.696119
183,5,5,3.0231457,5.1906285
184,3,1,7.7948985,11.161963
185,9,0,7.256933,6.2910566
186,1,9,7.9568386,10.404679
187,4,6,3.707631,6.9425483
188,6,9,7.0789714,8.404977
189,3,0,10.366651,9.369788
190,0,8,4.118083,9.84654
191,8,7,7.4354534,6.412627
192,3,8,7.541265,7.422361
193,8,8,7.621265,4.7580066
194,4,2,3.81655,5.5715327
195,6,5,6.802768,9.07496
196,0,2,1.6077865,10.59037
197,7,3,0.8721508,7.4470105
198,2,5,4.4375105,6.7188153
199,9,0,7.4226055,6.038559
200,0,6,1.8538946,9.770298
201,3,1,6.023027,7.343719
202,6,9,7.398662,9.43308
203,5,3,4.0540338,4.5010247
204,7,6,1.7147481,7.040886
205,6,9,6.685922,6.5864086
206,3,1,7.409125,8.221394
207,3,3,5.13689,4.6954217
208,1,9,8.833121,10.111
209,7,6,1.7151315,7.0389924
210,7,6,2.2091773,7.7163625
211,6,7,6.8218694,9.498557
212,2,1,5.298721,8.026943
213,8,0,7.806588,4.3336606
214,2,9,6.22433,9.839949
215,2,5,4.6802797,7.0239954
216,6,8,7.535381,8.172119
217,7,5,2.2979307,6.0733175
218,0,2,2.8029444,9.786
219,1,9,8.410574,9.081778
220,9,0,8.584908,5.172415
221,8,8,9.486182,8.818312
222,3,8,7.155743,6.6314054
223,6,0,6.684045,8.672307
224,7,6,1.7750386,7.9776354
225,2,9,6.4331994,6.130725
226,3,1,5.670723,4.352541
227,3,1,7.4010773,7.5773396
228,7,6,1.3883209,7.7601857
229,5,3,3.616082,4.9571357
230,6,7,6.611695,9.811916
231,7,6,2.1559403,9.196318
232,0,6,2.7244248,10.118578
233,6,0,8.194554,7.583918
234,6,6,6.8866043,10.047408
235,4,6,3.4720163,5.9421186
236,6,1,7.680387,8.97252
237,4,7,3.757703,8.0329895
238,7,1,2.2056248,8.187153
239,1,5,9.73941,9.792802
240,2,8,4.944164,9.195603
241,4,3,2.7467217,7.3477316
242,0,6,1.7913104,10.791022
243,0,6,0.84825706,8.9926605
244,9,8,8.714088,7.167786
245,0,6,2.5232978,10.217547
246,9,8,8.633712,5.7338877
247,7,4,0.83729297,10.407179
248,2,6,4.566551,9.116194
249,0,6,2.4711897,10.761091
250,3,1,6.472655,6.4111347
251,7,3,1.7358116,7.5238223
252,9,8,8.341962,6.794163
253,4,3,3.945734,6.900748
254,7,4,1.2146018,9.328863
255,1,1,9.240999,9.966694
256,4,7,3.0299196,8.370976
257,3,1,6.477039,7.447107
258,2,3,5.0397024,6.8977404
259,8,8,7.001966,5.665422
260,5,5,2.16561,5.783403
261,1,1,9.876595,9.952244
262,3,1,7.983689,6.5189314
263,6,4,5.813628,8.632687
264,8,0,7.8918915,5.046167
265,6,9,6.8773866,9.448962
266,5,3,3.8829129,4.993189
267,0,7,4.9604034,10.315982
268,0,4,1.3471218,10.027348
269,2,9,6.1838717,8.307203
270,2,9,7.2959146,10.554245
271,6,2,6.2933145,9.781656
272,7,4,0.7777107,7.484446
273,1,9,9.416881,9.2613945
274,2,9,4.729412,9.513345
275,6,1,7.215233,8.2669525
276,9,0,9.251105,6.1921153
277,2,5,3.7040505,7.8107367
278,1,9,9.5597315,9.939628
279,1,0,3.2822747,10.071521
280,8,8,6.8898644,5.3343334
281,7,2,3.573597,9.079903
282,3,1,5.9731007,6.8508377
283,5,2,3.75065,6.216148
284,8,0,7.4980617,6.232744
285,2,5,9.167178,9.878134
286,0,6,1.3951459,10.341203
287,5,3,4.61868,5.0265636
288,0,2,1.7894101,9.899593
289,4,7,3.800411,7.9078813
290,6,8,8.300018,8.210497
291,9,8,5.1036096,8.664394
292,4,6,3.1095216,6.853615
293,1,0,7.694949,10.911873
294,6,7,4.8684096,9.499634
295,1,9,9.310063,9.369731
296,0,4,1.5619783,8.71834
297,5,5,2.9630988,5.5565453
298,7,6,1.4364562,8.455866
299,0,4,0.8408824,9.26058
300,0,2,2.7928069,10.382299
301,4,1,3.8471036,7.497914
302,1,1,9.045929,9.041591
303,9,2,7.4009476,5.5716157
304,6,1,7.500219,8.218474
305,2,5,3.5705478,9.441816
306,6,9,7.7044373,9.3892565
307,6,9,5.675234,9.890381
308,9,0,8.5247755,5.506859
309,9,8,8.982781,6.503047
310,8,4,6.549937,5.6179566
311,3,1,6.227776,7.2793064
312,6,1,6.853793,8.588982
313,7,6,0.65240026,7.8200707
314,4,3,2.7395232,7.120645
315,5,3,3.6496682,5.427379
316,9,9,7.4456067,6.8633823
317,8,0,7.139625,5.5640492
318,4,7,3.8410475,8.204137
319,6,9,6.6319985,5.8845806
320,0,7,3.6119163,10.378226
321,2,7,4.590057,6.7257752
322,2,9,5.199178,8.3548565
323,8,1,5.8059006,4.5731444
324,2,5,3.7490628,9.084572
325,3,1,6.863757,7.289741
326,7,6,3.7693093,4.6180544
327,7,6,1.9316663,8.151658
328,9,8,8.493979,7.751435
329,8,7,6.584705,5.2998323
330,6,1,7.9096375,10.37643
331,2,3,3.7823126,7.582172
332,2,0,7.225054,7.8446608
333,7,3,1.2657522,6.6233487
334,1,3,8.880309,9.222378
335,8,2,5.511467,5.424521
336,0,4,4.090955,10.653852
337,7,5,1.6371472,6.618844
338,5,7,3.704644,5.529559
339,2,5,4.70213,5.7446074
340,6,9,7.4861255,7.9653416
341,8,0,6.7611938,4.689332
342,4,3,4.303135,6.8285837
343,0,4,1.6068041,10.546984
344,9,0,8.253465,6.041507
345,0,4,2.4403493,10.273933
346,0,4,2.4138253,9.644239
347,7,6,1.2275887,6.5339646
348,8,0,7.673194,4.175368
349,8,0,5.622477,5.0984235
350,0,6,1.1189806,10.176843
351,7,6,2.2391357,7.4438624
352,2,0,6.117015,7.4750447
353,6,8,7.1542706,8.556861
354,2,1,5.3685856,8.952448
355,4,6,2.3416927,6.067205
356,7,2,1.3019288,7.8750257
357,1,9,8.514955,9.895069
358,7,2,2.076696,7.596584
359,2,5,2.617683,7.1656184
360,1,9,9.917285,9.71487
361,4,6,2.9602046,7.035163
362,0,7,3.5948768,9.416418
363,1,4,7.666994,10.6649475
364,1,1,10.482769,9.833425
365,9,8,9.162941,6.7229905
366,2,7,8.379608,6.0531187
367,1,3,8.691989,9.951241
368,0,6,1.1720321,9.306079
369,6,9,5.6373167,9.774241
370,3,3,5.052533,5.1643395
371,2,0,5.975192,5.039026
372,7,4,1.4690623,9.403301
373,8,0,7.6232142,4.768737
374,4,5,2.8921995,6.669625
375,6,1,7.597764,8.47653
376,9,0,7.5739374,7.2776265
377,4,3,4.566275,7.0268474
378,4,4,3.240445,7.3358727
379,8,8,7.3911095,5.192553
380,2,5,4.2073407,6.1547036
381,0,4,1.1778107,9.020755
382,4,7,3.5227752,7.825936
383,8,2,3.0402482,9.529725
384,4,3,3.4581687,6.561875
385,2,9,5.90895,9.073348
386,4,7,3.817654,7.7344337
387,0,6,1.2403866,10.01972
388,4,7,2.3798258,6.5060043
389,0,1,2.520882,9.981106
390,2,4,6.1560774,6.7990155
391,2,7,4.9294496,8.506343
392,2,0,5.2599745,8.023291
393,6,1,7.3419065,7.628914
394,6,7,5.995436,9.203621
395,2,3,4.212613,8.832908
396,6,1,7.8694663,10.355614
397,9,8,8.939996,6.0716643
398,0,4,1.2308161,10.298832
399,7,4,0.72734183,8.036095
400,4,2,3.1423674,9.593836
401,8,0,6.102543,5.4475794
402,4,2,2.8999772,9.389628
403,8,2,0.77403814,7.3413086
404,8,0,7.555797,6.389463
405,9,0,8.899082,6.9762554
406,6,9,7.3112774,8.561566
407,2,0,7.1168222,6.9736004
408,6,9,7.5278516,9.633857
409,5,6,2.3232927,4.9167676
410,9,8,8.857903,6.8646903
411,7,2,1.9152187,7.5539365
412,1,7,8.826811,8.741185
413,4,7,3.830422,7.5325556
414,9,4,8.702446,6.1759987
415,8,0,7.0424237,5.5477285
416,5,3,3.120736,5.775376
417,9,0,8.384486,5.5658674
418,1,8,9.257633,8.768351
419,1,9,8.575546,9.43378
420,0,4,1.6617697,10.798519
421,5,2,2.6360927,9.123467
422,2,7,4.6648836,6.5971527
423,2,2,5.477056,8.493911
424,5,5,3.2185783,5.708461
425,8,2,7.424738,4.7464557
426,5,5,2.155006,4.831342
427,1,1,10.012246,9.887396
428,1,9,9.142754,9.487664
429,0,4,2.018639,10.04911
430,1,8,8.902032,9.337655
431,2,5,4.236493,6.6391873
432,3,1,6.1259284,7.0357966
433,0,7,2.4394064,8.73061
434,7,4,1.9425576,6.8253093
435,0,4,1.3336853,10.484152
436,8,0,6.2770357,5.3684974
437,0,6,1.7190531,10.162395
438,1,9,8.414876,10.188388
439,8,0,7.3299932,4.310059
440,4,7,2.608839,8.703671
441,8,8,6.088799,4.6728644
442,8,8,8.041568,7.0052214
443,1,9,10.101418,9.505156
444,6,9,7.6223507,7.8847876
445,7,3,2.2994773,7.3490996
446,2,3,3.7214687,6.2808895
447,0,4,3.9922311,9.732126
448,9,0,8.0280285,7.251459
449,0,4,2.4783742,8.932928
450,2,5,4.8055115,7.2320795
451,7,6,2.3849947,6.4032593
452,7,6,0.82972854,9.144152
453,9,0,8.816666,7.164213
454,6,1,7.9424176,8.937276
455,8,0,6.287878,5.297089
456,9,8,8.669423,7.546752
457,1,0,8.175359,10.825873
458,7,4,2.1722662,7.335675
459,9,8,8.8708935,5.6700907
460,3,8,6.615284,7.7169185
461,2,1,6.1994433,4.894448
462,1,5,9.616546,10.166582
463,0,2,1.9727564,10.31914
464,7,6,0.9346981,8.431522
465,1,8,9.758477,9.380493
466,0,1,5.408896,9.8751335
467,8,0,7.1363997,5.854041
468,8,0,8.074584,4.6634483
469,0,7,2.7305179,9.299791
470,2,7,3.9337406,8.160889
471,4,5,3.118811,8.019651
472,6,9,4.629339,8.702291
473,0,6,2.569338,10.192887
474,2,2,4.834788,6.9356475
475,9,8,8.48615,7.7202654
476,2,3,3.9931355,9.688586
477,0,4,1.7011473,10.4581375
478,0,7,3.0053766,9.502345
479,3,3,5.594237,4.8396735
480,9,9,7.8172894,7.596628
481,8,0,5.7857003,5.097201
482,0,1,3.9267626,10.1636
483,0,2,1.4693073,10.274075
484,0,4,3.115836,10.058468
485,9,8,8.950467,6.707557
486,2,1,5.9813814,7.518367
487,3,8,6.0787783,7.5335903
488,7,6,1.340355,8.478719
489,0,4,2.0456426,10.007022
490,8,4,6.0838637,6.205784
491,2,5,5.037728,6.3228498
492,7,7,1.7754117,8.527244
493,1,1,6.9680233,8.404558
494,2,3,4.1360874,9.009004
495,6,9,7.977028,8.448103
496,1,8,8.645242,9.433639
497,8,0,6.1977563,5.402314
498,4,1,8.281325,9.908275
499,2,7,7.96873,6.123738
500,5,5,3.1943233,5.393602
501,6,8,7.1099873,9.900597
502,0,2,3.13303,10.074444
503,8,8,7.7380996,7.3146157
504,8,0,6.388154,4.774064
505,6,4,6.8929,9.0947
506,2,1,6.6696644,8.107817
507,1,8,9.920857,9.059915
508,1,9,8.955167,10.093632
509,1,8,10.213227,9.996164
510,5,2,3.0327172,4.9945493
511,2,9,5.921572,8.03665
512,6,9,7.4287953,8.559903
513,7,2,1.0186639,7.4469943
514,2,7,5.083248,8.550423
515,0,5,3.2773962,9.770476
516,6,7,4.9423614,8.225434
517,2,3,4.593801,6.4127245
518,3,8,6.981537,7.7325063
519,9,8,8.992998,7.835801
520,0,4,0.7972437,10.671565
521,7,4,1.0969423,7.8358793
522,3,2,5.6428504,4.9853888
523,2,7,5.5749183,6.7370105
524,9,1,8.383759,6.6689444
525,0,6,1.5115597,9.58422
526,0,4,1.1168019,10.411629
527,6,0,7.3331447,7.6654553
528,0,4,2.4639676,10.229573
529,7,6,0.8879144,7.7692947
530,6,9,7.1827564,10.358614
531,0,7,3.1400537,9.808675
532,7,6,2.4454026,7.9600744
533,0,2,2.7187092,9.588439
534,5,5,2.8261542,5.249046
535,2,5,4.959771,5.4253273
536,6,1,7.6152377,8.986981
537,7,7,4.466568,8.849155
538,8,2,7.242494,5.2257214
539,8,2,5.214669,4.784881
540,0,2,2.6167786,10.425725
541,6,9,7.6760902,7.9484367
542,3,5,3.2405427,5.856217
543,4,4,2.3152027,6.5669103
544,2,2,3.4282448,10.001454
545,0,7,1.8277434,10.172803
546,1,8,9.135939,9.530902
547,3,1,7.559495,8.308868
548,2,3,4.4740305,7.443999
549,4,4,4.065632,6.594397
550,4,3,3.4813156,6.6298437
551,4,7,3.723831,9.241732
552,7,6,1.836687,7.281029
553,2,9,5.8977427,7.9158025
554,9,8,8.546521,7.203119
555,2,0,7.0139117,5.9724016
556,0,6,2.3707054,9.693565
557,8,0,7.3228245,5.18573
558,8,2,2.8333955,9.587559
559,3,2,5.8991103,5.0878925
560,4,2,2.741174,9.227197
561,0,1,3.1608994,10.673934
562,3,8,7.709508,7.5072684
563,2,4,3.83074,8.505515
564,9,0,8.687733,7.27618
565,2,1,3.7126198,7.355019
566,9,8,8.784124,6.515418
567,8,8,6.8629704,5.4914656
568,6,1,8.119588,10.246792
569,5,5,1.6092857,5.94625
570,7,7,1.0852313,8.023767
571,7,6,1.8132033,6.5306726
572,0,4,2.6605437,10.522044
573,3,5,4.3580046,5.5728545
574,9,8,8.940334,6.6562805
575,6,7,7.118763,9.747188
576,2,1,6.0215917,7.569724
577,1,9,7.4519477,7.0186615
578,2,1,5.5033135,7.772867
579,8,9,6.301243,6.147911
580,2,8,5.536373,6.901131
581,0,4,1.9204211,11.102268
582,6,7,6.989405,10.015824
583,2,3,3.739573,8.133938
584,3,8,6.8795786,7.229471
585,9,8,9.080073,6.484296
586,2,2,4.899923,7.6422877
587,7,6,1.9593105,8.416829
588,7,6,3.598552,6.755209
589,2,7,4.740231,7.6579304
590,6,1,6.8497458,7.004939
591,7,6,2.6868396,7.5032363
592,6,8,8.640713,7.646172
593,2,1,6.1917677,7.3290977
594,1,9,9.704274,9.220789
595,6,7,4.731528,8.769898
596,8,8,7.669195,6.364138
597,3,3,4.5279546,4.8853846
598,8,0,6.263109,5.049127
599,0,1,5.043323,9.870165
600,0,0,6.6193476,5.9313755
601,1,8,8.814827,9.751143
602,6,8,7.051358,9.970063
603,4,3,3.5559282,6.48933
604,6,0,7.5963345,9.009114
605,8,0,6.6429915,4.571829
606,6,1,7.4357057,8.065739
607,2,5,3.5795305,6.764639
608,3,0,5.828694,7.2626576
609,6,8,8.769356,7.862679
610,6,8,9.135682,7.9231386
611,2,7,4.704324,8.894847
612,2,9,7.8122854,8.523105
613,6,9,8.416057,9.6731205
614,6,0,7.9528375,8.433515
615,6,9,5.824564,9.800437
616,7,4,2.9973085,7.563569
617,1,1,9.627581,9.35915
618,3,3,5.6430907,5.6224246
619,0,6,1.0252948,9.902686
620,0,6,3.4654367,10.499979
621,0,4,3.012014,10.267684
622,0,4,1.3034061,10.662654
623,4,7,3.643827,8.373823
624,6,5,5.013746,8.391886
625,4,6,3.159457,7.6615844
626,4,0,4.6964526,6.4522514
627,2,8,6.952026,6.644755
628,8,0,4.982056,7.975297
629,5,3,3.6233149,5.674236
630,2,2,5.571804,6.6282187
631,6,8,8.61997,8.067932
632,6,4,4.7104325,8.330647
633,4,6,3.7590759,6.609772
634,1,9,10.212301,10.028378
635,2,9,7.1212134,8.9832735
636,4,7,3.28711,6.615294
637,8,0,8.14583,4.9526315
638,4,3,5.4386196,6.71989
639,1,3,9.0936,8.71146
640,0,6,1.2446612,8.771514
641,4,7,3.033219,7.248114
642,7,4,1.2876382,10.15465
643,3,9,7.319146,8.707639
644,2,1,6.1847253,7.088316
645,7,6,1.0451893,8.442913
646,1,2,8.687233,8.7081995
647,2,7,4.8803077,8.658818
648,2,2,4.2312975,8.621983
649,0,2,2.3976686,10.617635
650,8,0,6.0424256,5.007968
651,7,6,1.5539922,7.1526613
652,0,7,3.2223296,10.490105
653,4,5,2.8033874,5.694933
654,4,7,3.700629,8.476765
655,8,6,4.7644663,4.7742467
656,9,8,9.1459875,5.9016323
657,6,9,6.962655,8.317577
658,8,0,7.799478,4.7201805
659,9,9,8.387139,7.453247
660,7,4,1.5736654,8.519492
661,0,4,2.0494673,10.452964
662,4,7,3.7398567,8.418924
663,8,0,7.7700663,4.8537793
664,4,9,3.8460984,7.3855753
665,7,4,1.9855899,8.3283615
666,6,9,7.4599404,9.238488
667,7,6,1.5724076,6.61882
668,1,9,8.882313,10.0637455
669,0,4,2.008634,10.681602
670,2,5,4.8898134,6.7459397
671,2,7,7.789653,5.849685
672,6,9,7.5383806,9.442572
673,0,2,1.4056884,10.994076
674,0,4,1.2753048,10.297334
675,5,5,2.6074228,5.0776105
676,8,1,6.8825192,6.050893
677,0,4,1.143539,9.473098
678,7,3,0.7604961,8.160156
679,3,9,6.1041307,7.063798
680,4,6,2.3900974,7.9038877
681,4,5,2.2921326,8.9314375
682,4,6,3.7334125,7.0201316
683,0,9,4.454318,10.243243
684,0,3,2.1143308,9.387324
685,5,3,2.9728656,5.5454235
686,0,5,1.7903041,10.28874
687,8,0,7.273184,4.7884283
688,0,7,3.934882,9.865222
689,2,2,8.001984,8.083939
690,3,1,6.2606664,6.9426146
691,4,3,4.2205596,4.796438
692,7,6,2.0611975,7.0633397
693,2,4,3.9948888,6.77193
694,6,0,7.647886,7.998463
695,8,0,6.5846057,4.8999605
696,0,2,2.735492,10.66363
697,3,5,5.450258,7.2329664
698,8,0,7.0136657,4.7126584
699,1,1,7.2499266,10.669442
700,9,0,8.329606,7.565161
701,0,2,0.95806557,9.166658
702,0,3,2.3521128,9.699727
703,6,9,6.2394676,8.539292
704,9,8,8.878501,8.060266
705,7,4,2.4914525,9.008774
706,1,9,9.850455,9.571235
707,8,8,7.0882034,6.3390884
708,6,0,6.1166716,8.537898
709,8,2,7.605924,4.407512
710,0,6,0.8271133,8.466015
711,8,4,6.3227835,5.9590096
712,4,4,2.6995306,9.021732
713,6,0,6.702263,9.918742
714,2,1,5.908276,9.018455
715,8,8,7.180615,6.2106705
716,7,8,5.266042,8.582888
717,7,3,1.2364389,7.5223765
718,7,6,1.8031561,6.5447254
719,2,9,6.367965,8.033902
720,0,6,1.4269164,11.066894
721,0,6,1.121798,9.811262
722,6,7,7.2945676,9.415203
723,2,8,5.966546,8.387566
724,2,2,4.8582864,6.2717466
725,7,4,6.0683227,6.2658644
726,5,5,4.520704,4.4067373
727,4,7,3.634161,6.709254
728,7,6,1.3158674,7.322753
729,0,5,4.3524756,9.796311
730,2,3,3.8567038,7.47062
731,8,0,6.15636,5.205863
732,7,5,2.0723011,6.7654853
733,9,0,8.598795,5.023298
734,2,5,4.701369,7.730243
735,8,0,6.5409203,5.3073573
736,6,8,6.8875422,9.350981
737,1,2,9.826542,9.437837
738,0,6,0.8765504,10.174122
739,4,7,3.9455714,6.765615
740,4,3,2.999377,6.708705
741,6,8,7.4503617,7.7895527
742,0,2,2.4596965,9.665008
743,3,1,6.6712866,5.9115686
744,5,7,3.9396443,5.1161585
745,0,6,1.3590395,9.945491
746,2,7,4.119833,8.982095
747,2,1,5.9095263,7.5170197
748,9,0,8.715178,6.050951
749,9,9,7.930413,7.382758
750,2,5,4.5021863,9.412238
751,5,5,3.8075721,5.071278
752,9,0,8.75382,6.26303
753,1,1,9.583386,9.483892
754,2,7,4.549502,8.911791
755,1,6,10.297485,9.880644
756,3,9,6.1188755,7.1310763
757,9,0,8.057948,4.965216
758,0,4,4.47559,10.094082
759,2,7,5.9460034,7.7338
760,8,7,5.5816765,4.7959485
761,9,1,7.0817595,6.552981
762,4,5,3.5940244,6.381166
763,9,9,8.63688,6.828311
764,0,4,1.5823182,10.8021965
765,8,0,7.3553667,4.3944554
766,9,8,8.238872,6.8737764
767,6,5,6.0292516,10.11905
768,6,9,7.9127593,9.797345
769,2,9,6.611918,7.8616114
770,2,6,4.6950216,7.8812237
771,2,7,6.1765623,9.801177
772,1,1,10.352115,9.690302
773,3,8,7.1754837,7.0966315
774,4,3,2.143358,7.421626
775,5,2,2.9742286,5.306735
776,0,3,1.8137791,9.048357
777,9,8,8.184413,7.1113596
778,0,2,2.7742565,10.727944
779,0,2,2.6363986,10.133648
780,6,4,5.2512074,8.619475
781,0,6,2.4146552,10.977668
782,8,0,6.3859906,4.861063
783,0,0,2.7737668,10.617685
784,4,5,2.6186051,6.381152
785,8,3,5.23554,5.2235885
786,9,8,9.150952,6.807099
787,0,2,1.7344189,10.219232
788,5,3,4.655099,4.605642
789,6,7,6.2548933,8.915373
790,8,2,5.174984,4.8462358
791,4,9,3.6102114,7.1671104
792,2,3,4.082798,8.453367
793,9,8,9.107617,7.1006837
794,6,7,5.2755313,9.556153
795,1,8,8.670735,6.458672
796,9,2,8.852537,5.561595
797,1,7,8.459065,5.0349436
798,2,9,4.4684577,8.553144
799,0,0,3.4614062,10.361849
800,0,2,2.5634303,10.442831
801,7,3,1.1500396,8.162301
802,7,2,0.8075672,7.81501
803,8,2,5.631105,6.175767
804,4,2,1.7031293,7.701232
805,5,3,3.1664689,5.4923315
806,7,3,1.8759686,7.26642
807,0,6,0.75974435,9.424351
808,8,2,7.3690743,4.2397084
809,5,3,3.2412603,5.368478
810,0,2,3.4553802,9.485706
811,9,8,8.721371,7.3702025
812,6,0,7.2585907,8.030649
813,5,5,3.2092557,5.2334023
814,2,5,3.786991,9.424016
815,1,1,9.231607,9.805224
816,8,4,6.305285,4.8238835
817,0,5,2.2744167,9.96008
818,0,6,0.6897217,8.970959
819,7,6,1.6910208,6.5187774
820,6,2,6.452095,9.888428
821,4,7,2.5689359,6.0228224
822,8,0,7.07796,4.6937275
823,1,1,7.836359,10.992284
824,4,7,3.56821,7.531981
825,4,7,4.6227183,6.7820954
826,2,8,7.5257277,6.134356
